video_id,yt_title,baseline_views,baseline_date,歌名,歌手,Initial Views,Initial Date
IeZjH-TRqbY,人生自定义 (《小芳》电视剧主题曲),3808.0,2026-08-11,-,-,-,-
gnIO7ZBd_Uc,"汪苏泷到底有多会整活？和吉克隽逸共同改编《Letting Go》,开口就冲上热榜第一！",424.0,2026-08-11,-,-,-,-
GbHiF2op4rQ,關曉彤&李昀銳《一百顆星星》（《耀眼》電視劇片頭曲）官方MV｜騰訊音樂發行頻道,176387.0,2026-08-11,-,-,-,-
WruTIPGb84U,【纯享版】太好了是宋亚轩完整版《同花顺》！少年感嗓音碰撞轻盈又带点暧昧感的旋律 把爱情里心有灵犀的悸动与试探唱得格外上头 氛围感满分！#国乐无双 EP5 20260620​,134179.0,2026-08-11,-,-,-,-
dePs7UPp6GQ,Mrs. GREEN APPLE「Brand New」Official Music Video,12007518.0,2026-08-11,-,-,-,-
m7k9UMcHbr0,"KATSEYE (캣츠아이) ""Animal"" Official MV",44442885.0,2026-08-11,-,-,-,-
4kXZl6yf4-I,黃子弘凡《如果宇宙有答案》（電影《群星閃耀時》推廣曲）官方MV｜騰訊音樂發行頻道,667.0,2026-08-11,-,-,-,-
NGsMs7MGjUs,寸断（《千香》网剧不归曲）,16289.0,2026-08-11,-,-,-,-
9EMyQJ4GS_Q,【纯享版】#李宇春 爆改庾澄庆30年前摩登歌曲《让你妈妈NEW一下》！高能舞台搭配超洗脑旋律 松弛感与潮流感双双拉满！#国乐无双 EP9 20260725,5541.0,2026-08-11,-,-,-,-
BVpXUyXPKOg,梁靜茹 - 勇氣,15326916.0,2026-08-11,-,-,-,-
y_G6y13cwoc,Eric周興哲 - 殼 Shells | 「來！ 金來號！ “Fired Up!”」電視劇片尾曲,187.0,2026-08-11,-,-,-,-
1eJO6_UaSt4,Tiger In My Love,173997.0,2026-08-11,-,-,-,-
AH2ibOsKgzs,我們總是喜歡在夏天討論永遠,18134.0,2026-08-11,-,-,-,-
6Q0Pd53mojY,周杰倫 Jay Chou【夜曲 Nocturne】-Official Music Video,104276564.0,2026-08-11,-,-,-,-
qJN9yhCyjgE,디노 DINO - Beyond the Dream Official M/V,26427.0,2026-08-11,-,-,-,-
kffacxfA7G4,Justin Bieber - Baby ft. Ludacris,3719663683.0,2026-08-11,-,-,-,-
JM9rx_hN1Ko,陳奕迅 Eason Chan《十年(國) [OT : 明年今日]》[Official MV],10863168.0,2026-08-11,-,-,-,-
htqqnVgO0ig,若不是因为你,10449.0,2026-08-11,-,-,-,-
VZK8_w_PoBQ,Paper Flower (Inst.),2122.0,2026-08-11,-,-,-,-
CHnG06jNbf4,Nice to Meet Ya,300886.0,2026-08-11,-,-,-,-
324tP6l2r4U,【纯享版】#刘凤瑶 #张玮 #曾一鸣 #李琦 #派克特 #蒋一帆 高燃炸唱《哪凉快哪去》！摇滚说唱火力全开 舞台感染力直接拉满！#天赐的声音7 EP8 20260802,3882.0,2026-08-11,-,-,-,-
hgIDXTmmgDg,張紫豪 - 可不可以『不希望我的未來不是你，只願意和你永遠不分離。』【動態歌詞Lyrics】,149251471.0,2026-08-11,-,-,-,-
dSX7D6XBGKY,【影視劇ost】梁詠琪 | 貼心《這一秒過火》影視劇初見心動曲 Overdo OST #張凌赫 #王楚然 #lyrics #这一秒过火,14043.0,2026-08-11,-,-,-,-
CU60L5ck_Vo,周深 -《如約》｜CC歌詞字幕,210185.0,2026-08-11,-,-,-,-
HCv4EH5plpA,清风微微,27067.0,2026-08-11,-,-,-,-
3AmW5qaQuUw,【纯享版】#宋亚轩 全新演绎《二十二》！22岁的少年把青春 自由与热爱唱进每一句歌词 清澈嗓音治愈力满分！#国乐无双 EP10 20260801,18321.0,2026-08-11,-,-,-,-
aN4OnHZchmQ,孤光（《南部档案》影视剧梦境寻光片尾曲）,58856.0,2026-08-11,-,-,-,-
yyMuPEZ0-eQ,羊羊 - 第57次取消發送『我好想你 在每個夜裡，孤單自敘 紛飛的回憶。』【高音質HD|動態歌詞Lyrics】♫,3934.0,2026-08-11,-,-,-,-
rQYrp9dzCOA,因果（《雀骨》影视剧宿命曲）,35607.0,2026-08-11,-,-,-,-
OZwTCnA2fMs,JUST FOR THE NIGHT,245122.0,2026-08-11,-,-,-,-
iUkNpyTdRUM,"Y and I - 刘美麟 (Liu Meilin), 赵磊 (Zhao Lei)《爱情有烟火 Love Has Fireworks》Chi/Eng/Pinyin lyrics",27278.0,2026-08-11,-,-,-,-
0J6tGMnBLlM,Ariana Grande - stay (official visualizer),1747356.0,2026-08-11,-,-,-,-
XadF4AbmHeA,老街 歌词 - 李荣浩,9818730.0,2026-08-11,-,-,-,-
gnz7It0-F4g,发如雪 周杰伦 (歌词版),4371949.0,2026-08-11,-,-,-,-
pd3eV-SG23E,"Mayday五月天 [ 後來的我們 Here, After, Us ] Official Music Video",147432110.0,2026-08-11,-,-,-,-
5RlEWndW0bE,李榮浩 Ronghao Li《戀人 Lovers》Official Music Video,5188223.0,2026-08-11,-,-,-,-
